Time_original,10_sig,10_err,31.6_sig,31.6_err,100_sig,100_err,316_sig,316_err,1000_sig,1000_err,3160_sig,3160_err,Time
180,-0.00367,0.01225,0.000991,0.01311,-0.00313,0.0162,0.00499,0.01505,0.00528,0.00592,-0.00585,0.0112,0
190,0.01629,0.01306,-0.00495,0.01663,0.00452,0.00567,0.11483,0.03857,0.2924,0.02432,0.27837,0.02582,10
199,0.00908,0.01438,-0.00214,0.01407,0.02531,0.02026,0.22611,0.02775,0.2918,0.03119,0.22394,0.014,19
208,0.00967,0.01246,0.00743,0.01404,0.07662,0.0178,0.24093,0.0372,0.2442,0.0156,0.20061,0.0154,28
217,0.01271,0.01104,0.0074,0.01163,0.11772,0.0249,0.20574,0.03783,0.21272,0.01666,0.17558,0.02477,37
226,0.01243,0.01282,0.00957,0.01094,0.14153,0.02236,0.18464,0.037,0.18828,0.01365,0.14818,0.02022,46
235,0.00752,0.01041,0.01266,0.01273,0.16657,0.0183,0.15701,0.04024,0.16419,0.01495,0.13543,0.02683,55
244,0.01,0.02052,0.02289,0.00809,0.14598,0.01327,0.14691,0.0289,0.13938,0.01103,0.11291,0.0138,64
253,0.01216,0.00499,0.03447,0.01774,0.13368,0.0137,0.12102,0.02619,0.12552,0.00853,0.11345,0.01869,73
262,0.02087,0.01899,0.0308,0.00913,0.12187,0.01802,0.12091,0.02297,0.11757,0.01768,0.09693,0.01246,82
271,0.01423,0.0121,0.04106,0.01675,0.11665,0.01372,0.1079,0.02132,0.10815,0.01708,0.08583,0.0113,91
280,0.01963,0.01519,0.04653,0.0195,0.09974,0.02013,0.10856,0.02026,0.10376,0.01709,0.09283,0.00888,100
289,0.01859,0.01561,0.05525,0.01784,0.09417,0.01075,0.11197,0.01621,0.09782,0.0114,0.07634,0.01902,109
298,0.00846,0.01459,0.05649,0.01575,0.09147,0.02013,0.10332,0.02387,0.08459,0.01068,0.08058,0.012,118
307,0.01544,0.01146,0.06521,0.01686,0.10184,0.01591,0.0958,0.01762,0.07617,0.01005,0.06507,0.0162,127
316,0.01893,0.01469,0.07006,0.01232,0.0797,0.00659,0.0932,0.02008,0.07995,0.01177,0.0597,0.01203,136
325,0.02853,0.01698,0.07094,0.014,0.096,0.01473,0.08385,0.03868,0.07318,0.01208,0.06619,0.01822,145
334,0.01613,0.01475,0.06774,0.01149,0.0715,0.01861,0.08063,0.02138,0.06356,0.01344,0.05478,0.01033,154
343,0.01334,0.00945,0.06096,0.01056,0.07433,0.02063,0.07599,0.03622,0.06096,0.0147,0.04574,0.01548,163
352,0.01671,0.01945,0.06281,0.01031,0.07772,0.01794,0.06137,0.03541,0.05624,0.01176,0.0527,0.01352,172
361,0.01538,0.02341,0.07277,0.0136,0.07729,0.02141,0.06586,0.03155,0.05518,0.01063,0.03769,0.01621,181
370,0.02795,0.0194,0.05381,0.01681,0.0637,0.0141,0.06298,0.03454,0.03592,0.01239,0.03765,0.01813,190
379,0.01253,0.0111,0.06112,0.01351,0.06089,0.01164,0.06417,0.02935,0.04103,0.01213,0.04242,0.01467,199
388,0.01277,0.00627,0.05948,0.01589,0.06199,0.01215,0.06184,0.02583,0.03894,0.00708,0.03694,0.02022,208
397,0.01567,0.01337,0.05579,0.01371,0.05511,0.01734,0.0461,0.03906,0.04823,0.01686,0.02573,0.01177,217
406,0.01956,0.01082,0.05384,0.01085,0.04853,0.02106,0.04975,0.0313,0.03602,0.0139,0.03855,0.01575,226
415,0.01858,0.02016,0.04823,0.00812,0.0492,0.00406,0.05128,0.02394,0.03204,0.01362,0.0407,0.02313,235
424,0.03003,0.01953,0.04763,0.0092,0.04531,0.01423,0.04357,0.0333,0.03273,0.00945,0.02314,0.00958,244
